herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
WIS	1004266	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.58333	WIS-L-0013133	Badlands National N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1004266	COUNTRY	1000
WIS	1004418	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.66667,-102.58333	WIS-L-0013205	Badlands National Park. S1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1004418	COUNTRY	1000
WIS	1004419	WIS	S. Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.666667,-102.583333	WIS-L-0013206	Badlands National Park. S1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1004419	COUNTRY	1000
WIS	1007160	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.66667,-102.58333	WIS-L-0014480	Badlands National Park. S 1/2 of Cedar Butte,, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1007160	COUNTRY	1000
WIS	1007163	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0014483	Badlands National Park, N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1007163	COUNTRY	1000
WIS	1007166	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0014486	Badlands National Park, N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1007166	COUNTRY	1000
WIS	1008860	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.520833,-102.608333	WIS-L-0014943	Badlands National Park. Fog Creek drainage, wooded draws	https://lichenportal.org/portal/collections/individual/index.php?occid=1008860	COUNTRY	1000
WIS	1008862	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.58333	WIS-L-0014945	Badlands National ParkN, N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1008862	COUNTRY	1000
WIS	1008882	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.520833,-102.608333	WIS-L-0014946	Badlands National Park, Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1008882	COUNTRY	1000
WIS	1008883	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.520833,-102.608333	WIS-L-0014956	Badlands National Park, Fog creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1008883	COUNTRY	1000
WIS	1008886	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.520833,-102.608333	WIS-L-0014961	Badlands National Park, Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1008886	COUNTRY	1000
WIS	1008948	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.508333,-102.583333	WIS-L-0014514	Badlands National Park. N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1008948	COUNTRY	1000
WIS	1009220	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.520833,-102.608333	WIS-L-0014786	Badlands National Park, Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1009220	COUNTRY	1000
WIS	1009492	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0015152	Badlands National Park. N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1009492	COUNTRY	1000
WIS	1009500	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.51667,-102.6	WIS-L-0015144	Badlands National Park. Fog Creek drainage.	https://lichenportal.org/portal/collections/individual/index.php?occid=1009500	COUNTRY	1000
WIS	1009545	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.58333	WIS-L-0015435	Badlands National Park. N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1009545	COUNTRY	1000
WIS	1009549	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.516667,-102.6	WIS-L-0015449	Badlands National Park, Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1009549	COUNTRY	1000
WIS	1009553	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.666667,-102.583333	WIS-L-0015441	Badlands National Park, S 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1009553	COUNTRY	1000
WIS	1009577	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0015247	Badlands National Park. N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1009577	COUNTRY	1000
WIS	1009579	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.520833,-102.608333	WIS-L-0015249	Badlands National Park, Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1009579	COUNTRY	1000
WIS	1009580	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.666667,-102.583333	WIS-L-0015250	Badlands National Park, N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1009580	COUNTRY	1000
WIS	1009583	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0015244	Badlands National Park, N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1009583	COUNTRY	1000
WIS	1009981	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.51667,-102.6	WIS-L-0015446	Fog Creek drainage, Badland National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1009981	COUNTRY	1000
WIS	1009983	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0015444	Badlands National Park, N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1009983	COUNTRY	1000
WIS	1010156	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.516667,-102.6	WIS-L-0016068	Badlands National Park, Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1010156	COUNTRY	1000
WIS	1010188	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0015932	Badlands National Park, N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1010188	COUNTRY	1000
WIS	1010889	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0016209	Badlands National Park, N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1010889	COUNTRY	1000
WIS	1010931	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0016253	Badlands National Park, N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1010931	COUNTRY	1000
WIS	1010960	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0016373	Badlands National Park, N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1010960	COUNTRY	1000
WIS	1013386	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0016317	Badlands National Park, N one half of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1013386	COUNTRY	1000
WIS	1013797	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.666667,-102.583333	WIS-L-0016828	Badlands National Park, S 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1013797	COUNTRY	1000
