error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	IDS	2572440	IDS	K. Dillman	Wyoming	Gallatin	NA	county_not_matched_no_match	county_not_matched	45,-111	IDS-L-0001180	Yellowstone National Park Co. Midway Geyser Basin, at Sulphur Spring	https://lichenportal.org/portal/collections/individual/index.php?occid=2572440
COUNTRY	1000	IDS	2572922	IDS	K. Dillman	Wyoming	Yellowstone	NA	county_not_matched_no_match	county_not_matched	45,-111	IDS-L-0001210	Yellowstone National Park, Midway Geyser Basin, at Sulpher Spring	https://lichenportal.org/portal/collections/individual/index.php?occid=2572922
COUNTRY	1000	MSC	179600	MSC	Imshaug, Henry A	Wyoming	Sublette	8382.36	outside_boundary_exact	not_found_in_US	43.05,0	MSC0101995	Ridge of Mt. Lester above Seneca Lake, Wind River range	https://lichenportal.org/portal/collections/individual/index.php?occid=179600
COUNTRY	1000	MSC	260160	MSC	Imshaug, Henry A	Wyoming	Albany	8237.64	outside_boundary_exact	not_found_in_US	41.3666649,0	MSC0066134	Summit of Medicine Bow Peak, Medicine Bow Mts	https://lichenportal.org/portal/collections/individual/index.php?occid=260160
COUNTRY	1000	MSC	260162	MSC	Imshaug, Henry A	Wyoming	Albany	8237.64	outside_boundary_exact	not_found_in_US	41.3666649,0	MSC0066136	Summit fo Medicine Bow Peak, Medicine Bow Mts	https://lichenportal.org/portal/collections/individual/index.php?occid=260162
COUNTRY	1000	MSC	268773	MSC	Imshaug, Henry A	Wyoming	Sublette	8382.36	outside_boundary_exact	not_found_in_US	43.05,0	MSC0073913	Ridge of Mt. Lester above Seneca Lake, Wind River Range	https://lichenportal.org/portal/collections/individual/index.php?occid=268773
COUNTRY	1000	MSC	270812	MSC	Wetmore, Clifford M	Wyoming	Creek	NA	county_not_matched_no_match	county_not_matched	44.68222,-104.762827	MSC0075765	Wyoming, Black Hills; North of Moore Hill (27 miles northwest of Sundance).	https://lichenportal.org/portal/collections/individual/index.php?occid=270812
COUNTRY	1000	MSC	276956	MSC	Shushan, Sam	Wyoming	Carbon	6888.85	outside_boundary_exact	not_found_in_US	44.1333351135,-17.6402778625	MSC0081337	Six miles north of Baggs (6300 ft alt.)	https://lichenportal.org/portal/collections/individual/index.php?occid=276956
COUNTRY	1000	OMA	796945	OMA	NA	Wyoming	Albany	5215.32	outside_boundary_exact	not_found_in_US	41.555556,-40.666667	14922	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=796945
COUNTRY	1000	OS	1243346	OS	Robert S Egan	Wyoming	Gallatin	NA	county_not_matched_no_match	county_not_matched	44.886515,-111.327595	OS0001313	Yellowstone Natl. Park: Just E of the S entrance to the park off US 287; gentle upland topography; Pinus contorta forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1243346
COUNTRY	1000	OSC	5786020	OSC	B. D. Ryan	Wyoming	Johnson	1553.1	outside_boundary_exact	not_found_in_US	44.15,-126.933333	102768	0.1 mi up dirt road, S side of Hwy 16, 37.7 mi E of Tensleep.	https://lichenportal.org/portal/collections/individual/index.php?occid=5786020
COUNTRY	1000	OSC	5831284	OSC	Bruce McCune	Wyoming	Park	10024.83	outside_boundary_exact	not_found_in_US	44.96204,109.48999	OSC-M-048109	Inlet stream to Frozen Lake, 1.5 km SW of Beartooth Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=5831284
