error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTY	10	ILLS	2704269	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.20733,-71.39954	ILLS00095389	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2704269
COUNTY	10	ILLS	2704273	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.20733,-71.39954	ILLS00095499	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2704273
COUNTY	10	ILLS	2704286	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.20733,-71.39954	ILLS00095746	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2704286
COUNTY	10	ILLS	2704424	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.20733,-71.39954	ILLS00097350	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2704424
COUNTY	10	ILLS	2704474	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.20733,-71.39954	ILLS00097822	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2704474
COUNTY	10	ILLS	2704853	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.207422,-71.39954	ILLS00100091	White Mountain National Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2704853
COUNTY	10	ILLS	2704425	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.38	outside_boundary_exact	New Hampshire, Coos County	44.207422,-71.399841	ILLS00097351	White Mountain National Forest, Boreal Forest, Silver Cascade.	https://lichenportal.org/portal/collections/individual/index.php?occid=2704425
COUNTY	10	ILLS	2702843	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.18	outside_boundary_exact	New Hampshire, Coos County	44.206177,-71.403688	ILLS00007234	White Mountain National Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2702843
COUNTY	10	ILLS	2702938	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton,	1.18	outside_boundary_multi_county_1_of_2	New Hampshire, Coos County	44.206177,-71.403688	ILLS00008768	White Mountain National Forest, Silver Cascade.	https://lichenportal.org/portal/collections/individual/index.php?occid=2702938
COUNTY	10	ILLS	2703094	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton,	1.18	outside_boundary_multi_county_1_of_2	New Hampshire, Coos County	44.206177,-71.403688	ILLS00009534	White Mountain National Forest, Boreal Forest, Silver Cascade.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703094
