error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	DUKE	1851546	Forest Health Monitoring Crew	North Carolina	Watauga Co.	21.06	outside_boundary_exact	Tennessee, Carter County	36.25,-82.15	225776	Watauga County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1851546
STATE	100	DUKE	1857187	Forest Health Monitoring Crew	North Carolina	Watauga Co.	21.06	outside_boundary_exact	Tennessee, Carter County	36.25,-82.15	157631	Watauga County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1857187
STATE	100	DUKE	1861329	Forest Health Monitoring Crew	North Carolina	Watauga Co.	21.06	outside_boundary_exact	Tennessee, Carter County	36.25,-82.15	227230	Watauga County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1861329
STATE	100	DUKE	1867476	Forest Health Monitoring Crew	North Carolina	Watauga Co.	21.06	outside_boundary_exact	Tennessee, Carter County	36.25,-82.15	318253	Watauga County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1867476
STATE	100	DUKE	1867566	Forest Health Monitoring Crew	North Carolina	Watauga Co.	21.06	outside_boundary_exact	Tennessee, Carter County	36.25,-82.15	317978	Watauga County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1867566
STATE	100	DUKE	1871139	Dey, Jonathan, P.	North Carolina	Watauga Co.	21.06	outside_boundary_exact	Tennessee, Carter County	36.25,-82.15	48793	Watauga County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1871139
STATE	100	DUKE	1880412	Forest Health Monitoring Crew	North Carolina	Watauga Co.	21.06	outside_boundary_exact	Tennessee, Carter County	36.25,-82.15	318458	Watauga County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1880412
STATE	100	NCU	764644	Perlmutter, Gary B.	North Carolina	Watauga	16.6	outside_boundary_exact	Tennessee, Carter County	36.197778,-82.093889	NCU-L-0002708	Shawnee Road opposite Beech Creek State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=764644
STATE	100	NCU	764645	Perlmutter, Gary B.	North Carolina	Watauga	16.6	outside_boundary_exact	Tennessee, Carter County	36.197778,-82.093889	NCU-L-0002705	Shawnee Road opposite Beech Creek State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=764645
STATE	100	DUKE	1841874	Dey, Jonathan, P.; Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	155336	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1841874
STATE	100	DUKE	1852661	Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	318457	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1852661
STATE	100	DUKE	1853943	Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	314887	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1853943
STATE	100	DUKE	1855655	Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	301887	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1855655
STATE	100	DUKE	1859565	Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	305359	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1859565
STATE	100	DUKE	1861093	Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	39028	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1861093
STATE	100	DUKE	1865637	FHM Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	192541	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1865637
STATE	100	DUKE	1867599	Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	318400	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1867599
STATE	100	DUKE	1869008	Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	317836	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1869008
STATE	100	DUKE	1875891	Forest Health Monitoring Crew	North Carolina	Swain Co.	7.44	outside_boundary_exact	Tennessee, Blount County	35.63,-83.77	225315	Swain County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1875891
STATE	100	COLO	3172155	J. C. Lendemer	North Carolina	Haywood	7.25	outside_boundary_exact	Tennessee, Sevier County	35.6631,-83.3242	COLO-L-0052562	Great Smoky Mountains National Park, Appalachian Trail 0-1.1 mi E of Laurel Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=3172155
STATE	100	COLO	3172156	J. C. Lendemer	North Carolina	Haywood	7.25	outside_boundary_exact	Tennessee, Sevier County	35.6631,-83.3242	COLO-L-0052620	Great Smoky Mountains National Park, Appalachian Trail 0-1.1 mi E of Laurel Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=3172156
STATE	100	DUKE	1842817	Lendemer, James, Colin; Davoodian, Naveed; Tripp, Erin, A.	North Carolina	Swain Co.	6.33	outside_boundary_exact	Tennessee, Sevier County	35.6222222,-83.5461111	159244	Great Smoky Mountains National Park. Tunnel Bypass Trail at terminus of Lakeview Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=1842817
STATE	100	MIN	423109	McDonald, T.	North Carolina	Swain	5	outside_boundary_exact	Tennessee, Sevier County	35.65694444,-83.43777778	889365	Mt. Leconte, Near The Shelter; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423109
