error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	SRP	3352269	Roger Rosentreter	Alaska	Lake and Peninsula	2908.91	outside_boundary_exact	not_found_in_US	60.19573,154.29758	SRP-0000000	Trail to Tanalian Falls from Port Alsworth Lake Clark National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352269
COUNTRY	1000	CMN	3442347	Flock, JoAnn	Alaska	Prince of Wales-Outer Ketchikan Census Area	2186.37	outside_boundary_first_word_match	not_found_in_US	65.48,-168	CANL 103903	Seward Peninsula: Cape Prince of Wales. Between gravel road and Razorback boulderfield.	https://lichenportal.org/portal/collections/individual/index.php?occid=3442347
COUNTRY	1000	OS	1231295	M.E. Williams	Alaska	North Slope	1905.94	outside_boundary_exact	not_found_in_US	71.2667,156.65	OS0001047	Barrow, on ridge NW of gas well.	https://lichenportal.org/portal/collections/individual/index.php?occid=1231295
COUNTRY	1000	OS	5621879	Michael E. Williams	Alaska	North Slope	1898.76	outside_boundary_exact	not_found_in_US	71.290556,156.788611	OS0001498	East of ponds near IBP site 12	https://lichenportal.org/portal/collections/individual/index.php?occid=5621879
COUNTRY	1000	SRP	1447243	J. R. Fulkerson	Alaska	Northwest Arctic	1871.86	outside_boundary_exact	not_found_in_US	66.1832,160.1399	SRP-L-0011258	On the Seward Penninsula at Selawik Hills.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447243
COUNTRY	1000	SRP	1447245	J. R. Fulkerson	Alaska	Northwest Arctic	1871.86	outside_boundary_exact	not_found_in_US	66.1832,160.1399	SRP-L-0011260	Found on the Seward Peninsula at the Selawik Hills.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447245
COUNTRY	1000	SRP	1447246	J. R. Fulkerson	Alaska	Northwest Arctic	1871.86	outside_boundary_exact	not_found_in_US	66.1832,160.1399	SRP-L-0011261	Found on the Seward Peninsula at the Selawik Hills.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447246
COUNTRY	1000	SRP	1447252	J. R. Fulkerson	Alaska	Northwest Arctic	1834.7	outside_boundary_exact	not_found_in_US	67.36095,160.37025	SRP-L-0011267	site near Timber Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447252
COUNTRY	1000	SRP	1447248	J. R. Fulkerson	Alaska	Northwest Arctic	1832.66	outside_boundary_exact	not_found_in_US	65.36897,161.25746	SRP-L-0011263	At Granite Hot Springs on the Seward Peninsula, with wet environment and full sun.; BLM-WACH Plot	https://lichenportal.org/portal/collections/individual/index.php?occid=1447248
COUNTRY	1000	US	3370205	J. W. Thomson & S. Shushan	Alaska	North Slope Borough	1407.03	outside_boundary_exact	not_found_in_US	69.57,-114.08	NA	Valley of the Okpilak River at Okpilak Lake near Mt. Michelson	https://lichenportal.org/portal/collections/individual/index.php?occid=3370205
COUNTRY	1000	US	3381627	J. W. Thomson & S. Shushan	Alaska	North Slope Borough	1407.03	outside_boundary_exact	not_found_in_US	69.57,-114.08	NA	Valley of the Okpilak River at Okpilak Lake near Mt. Michelson	https://lichenportal.org/portal/collections/individual/index.php?occid=3381627
COUNTRY	1000	US	3604486	J. W. Thomson & S. Shushan	Alaska	North Slope Borough	1407.03	outside_boundary_exact	not_found_in_US	69.57,-114.08	NA	Valley of the Okpilak River at Okpilak Lake near Mt. Michelson	https://lichenportal.org/portal/collections/individual/index.php?occid=3604486
COUNTRY	1000	WIS	1018331	Stephen S. Talbot	Alaska	Northwest Arctic	1142.99	outside_boundary_exact	not_found_in_US	54.04833,-159.98394	WIS-L-0020995	Selawik NWR; Waring Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1018331
COUNTRY	1000	COLO	1628763	Emily A. Holt	Alaska	Nome	883.72	outside_boundary_exact	not_found_in_US	54.578335,-165.33667	COLO-L-0013324	near Anvil Mountain in drainage by mining debris	https://lichenportal.org/portal/collections/individual/index.php?occid=1628763
COUNTRY	1000	WTU	1271646	Gary A. Laursen, Bob Antibus, Beth	Alaska	North Star Borough	656.21	outside_boundary_partial_match	not_found_in_US	71.333333,-156	WTU-L-027228	Arctic N. Slope; Barrow; USIBP Tundra Biome Sites.	https://lichenportal.org/portal/collections/individual/index.php?occid=1271646
COUNTRY	1000	WTU	1271647	Gary A. Laursen, Bob Antibus, Beth	Alaska	North Star Borough	656.21	outside_boundary_partial_match	not_found_in_US	71.333333,-156	WTU-L-027229	Arctic N. Slope; Barrow; USIBP Tundra Biome Sites.	https://lichenportal.org/portal/collections/individual/index.php?occid=1271647
COUNTRY	1000	WTU	1271648	Gary A. Laursen	Alaska	North Star Borough	656.21	outside_boundary_partial_match	not_found_in_US	71.333333,-156	WTU-L-026878	Arctic N. Slope; Barrow; USIBP Tundra Biome Sites.	https://lichenportal.org/portal/collections/individual/index.php?occid=1271648
COUNTRY	1000	WTU	3587591	Gary A. Laursen	Alaska	North Star Borough	656.21	outside_boundary_partial_match	not_found_in_US	71.333333,-156	NA	Arctic N. Slope; Barrow; USIBP Tundra Biome Site.	https://lichenportal.org/portal/collections/individual/index.php?occid=3587591
COUNTRY	1000	WTU	3587592	Gary A. Laursen	Alaska	North Star Borough	656.21	outside_boundary_partial_match	not_found_in_US	71.333333,-156	NA	Arctic N. Slope; Barrow; USIBP Tundra Biome Sites.	https://lichenportal.org/portal/collections/individual/index.php?occid=3587592
COUNTRY	1000	SRP	1128624	C. C. Derr	Alaska	Petersburg Census Area	536.94	outside_boundary_reverse_partial	not_found_in_US	56.618889,-123.840279	SRP-L-0006426	Blind River Rapids Fishing Area. Petersburg, Mitkof Island. Frederick Sound.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128624
COUNTRY	1000	SRP	1128625	C. C. Derr, K Dillman	Alaska	Petersburg Census Area	536.94	outside_boundary_reverse_partial	not_found_in_US	56.618889,-123.840279	SRP-L-0006425	Blind River Rapids Fishing Area. Petersburg, Mitkof Island. Frederick Sound.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128625
COUNTRY	1000	WIS	2418191	Stephen S. Talbot	Alaska	Aleutians	531.35	outside_boundary_similarity_0.615	not_found_in_US	54.742183,-173.971167	WIS-L-0085466	Niziki Island	https://lichenportal.org/portal/collections/individual/index.php?occid=2418191
COUNTRY	1000	WTU	1259941	C. Derr, K. Dillman	Alaska	Wrangell Petersburg	471.22	outside_boundary_first_word_match	not_found_in_US	56.618889,-123.840278	WTU-L-013033	Blind River Rapids Fishing Area, Petersburg, Mitkof Island, Frederick Sound.	https://lichenportal.org/portal/collections/individual/index.php?occid=1259941
