herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
FLAS	1736786	FLAS	K. Kendall	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1083	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1736786	COUNTY	10
FLAS	1736792	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1085	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1736792	COUNTY	10
FLAS	1736796	FLAS	N.H. Can	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1088	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1736796	COUNTY	10
FLAS	1736801	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1091	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1736801	COUNTY	10
FLAS	1736803	FLAS	N.F.	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1095	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1736803	COUNTY	10
FLAS	1739420	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L693	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1739420	COUNTY	10
FLAS	1739431	FLAS	NF	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L694	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1739431	COUNTY	10
FLAS	1739464	FLAS	N.H. Can	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L697	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1739464	COUNTY	10
FLAS	1739475	FLAS	K. Kendall	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L698	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1739475	COUNTY	10
FLAS	1740664	FLAS	N.F.	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L809	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1740664	COUNTY	10
