error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	AUA	2692063	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50088,-85.61391	AUA-L-0000314	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne	https://lichenportal.org/portal/collections/individual/index.php?occid=2692063
COUNTRY	1000	AUA	2692077	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50307,-85.60918	AUA-L-0000270	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne; above the hill cabins	https://lichenportal.org/portal/collections/individual/index.php?occid=2692077
COUNTRY	1000	AUA	2692088	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50506,-85.61146	AUA-L-0000139	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne; in Alpine Camp near Longbow Cabin	https://lichenportal.org/portal/collections/individual/index.php?occid=2692088
COUNTRY	1000	AUA	2692126	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50307,-85.60918	AUA-L-0000271	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne; above the hill cabins	https://lichenportal.org/portal/collections/individual/index.php?occid=2692126
COUNTRY	1000	AUA	2694393	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50088,-85.61391	AUA-L-0001257	Alpine Camp for Boys, De Soto State Park, ea. 7 air miles NE of downtown Ft. Payne; above W-fork of Little River	https://lichenportal.org/portal/collections/individual/index.php?occid=2694393
COUNTRY	1000	AUA	2694434	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50088,-85.61391	AUA-L-0001390	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne	https://lichenportal.org/portal/collections/individual/index.php?occid=2694434
COUNTRY	1000	AUA	2694441	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50506,-85.61146	AUA-L-0001350	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne; in Alpine Camp near Longbow Cabin	https://lichenportal.org/portal/collections/individual/index.php?occid=2694441
COUNTRY	1000	AUA	2694501	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50307,-85.60918	AUA-L-0001207	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne; above the hill cabins	https://lichenportal.org/portal/collections/individual/index.php?occid=2694501
COUNTRY	1000	AUA	2694518	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50088,-85.61391	AUA-L-0001230	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne; in parking area across from the gymnasium	https://lichenportal.org/portal/collections/individual/index.php?occid=2694518
COUNTRY	1000	AUA	2694542	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50307,-85.60918	AUA-L-0001255	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne	https://lichenportal.org/portal/collections/individual/index.php?occid=2694542
COUNTRY	1000	AUA	2694543	Hansen, Curtis J.	Alabama	De Kalb	NA	county_not_matched_no_match	county_not_matched	34.50088,-85.61391	AUA-L-0001256	Alpine Camp for Boys, De Soto State Park, ca. 7 air miles NE of downtown Ft. Payne, (7.5 min.); (WGS84).	https://lichenportal.org/portal/collections/individual/index.php?occid=2694543
